Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
183,-62.9054,-11.8217,0.4288,0.7,0.0,3.9778,0.0417,0.0,1.2389,0.0
184,-62.6589,-11.817,0.4296,0.7,0.0,4.0435,0.0444,0.0,1.2481,0.0
185,-62.0525,-11.853,0.4304,0.7,0.0,4.0176,0.0472,0.0,1.2583,0.0
186,-62.5506,-11.8077,0.4313,0.7,0.0,4.0083,0.05,0.0,1.2685,0.0
187,-62.1928,-11.8417,0.432,0.7,0.0,3.9204,0.0528,0.0,1.2778,0.0
188,-62.5928,-11.823,0.4328,0.7,0.0,3.9426,0.0556,0.0,1.288,0.0
189,-62.2871,-11.7686,0.4336,0.7,0.0,3.9843,0.0583,0.0,1.2981,0.0
190,-62.4868,-11.8491,0.4343,0.7,0.0,3.9435,0.062,0.0,1.3074,0.0
191,-62.6372,-11.8306,0.4352,0.7,0.0,3.9954,0.0648,0.0,1.3176,0.0
192,-61.8188,-11.8506,0.4358,0.7,0.0,4.0694,0.0685,0.0,1.3269,0.0
193,-61.9216,-11.8744,0.4366,0.7,0.0,3.9583,0.0713,0.0,1.337,0.0
194,-62.2723,-11.7813,0.4373,0.7,0.0,4.0306,0.075,0.0,1.3472,0.0
195,-62.34,-11.7609,0.4381,0.7,0.0,4.0333,0.0787,0.0,1.3565,0.0
196,-61.5363,-11.8596,0.4387,0.7,0.0,3.9861,0.0824,0.0,1.3667,0.0
197,-62.5967,-11.842,0.4395,0.7,0.0,3.9611,0.0861,0.0,1.3759,0.0
198,-62.6002,-11.836,0.4403,0.7,0.0,3.987,0.0889,0.0,1.3861,0.0
199,-62.2459,-11.8358,0.441,0.7,0.0,3.9796,0.0935,0.0,1.3954,0.0
200,-62.1206,-11.835,0.4418,0.7,0.0,4.0537,0.0972,0.0,1.4056,0.0
201,-62.6311,-11.8202,0.4425,0.7,0.0,3.9787,0.1009,0.0,1.4148,0.0
202,-62.1982,-11.8432,0.4432,0.7,0.0,4.0491,0.1046,0.0,1.425,0.0
203,-62.2711,-11.822,0.4438,0.7,0.0,4.0241,0.1093,0.0,1.4343,0.0
204,-62.4447,-11.84,0.4445,0.7,0.0,3.9685,0.113,0.0,1.4444,0.0
205,-62.3838,-11.8005,0.4451,0.7,0.0,4.0176,0.1167,0.0,1.4537,0.0
206,-61.9164,-11.8409,0.4457,0.7,0.0,4.0315,0.1213,0.0,1.4639,0.0
207,-62.2343,-11.8212,0.4464,0.7,0.0,4.0009,0.1259,0.0,1.4731,0.0
208,-62.2939,-11.8123,0.447,0.7,0.0,4.0176,0.1296,0.0,1.4833,0.0
209,-61.8161,-11.8691,0.4476,0.7,0.0,4.0463,0.1343,0.0,1.4926,0.0
210,-62.5039,-11.7981,0.4483,0.7,0.0,4.0426,0.1389,0.0,1.5028,0.0
211,-62.2102,-11.8672,0.4489,0.7,0.0,4.0065,0.1435,0.0,1.512,0.0
212,-62.6077,-11.7759,0.4496,0.7,0.0,3.9833,0.1481,0.0,1.5213,0.0
213,-62.3253,-11.8084,0.4501,0.7,0.0,4.0093,0.1528,0.0,1.5315,0.0
