Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
105,-60.7703,-12.1587,0.4556,0.7,0.375,4.05,14.09,14.09,14.2775,14.2775
106,-61.5304,-12.2661,0.4581,0.7,0.13875,4.0525,14.09,14.09,14.2775,14.2775
107,-62.5093,-12.3229,0.4605,0.7,0.07125,3.91,14.09,14.09,14.2775,14.2775
108,-62.6693,-12.2684,0.4626,0.7,0.1425,3.94,14.09,14.09,14.2775,14.2775
109,-62.686,-12.2343,0.4651,0.7,0.19875,3.985,14.09,14.09,14.2775,14.2775
110,-63.0928,-12.2852,0.4673,0.7,0.075,4.0175,14.09,14.09,14.2775,14.2775
111,-63.7755,-12.2207,0.4696,0.7,0.04125,3.9975,14.09,14.09,14.2775,14.2775
112,-63.959,-12.1753,0.4718,0.7,0.04125,4.035,14.09,14.09,14.2775,14.2775
113,-64.319,-12.1203,0.474,0.7,0.09375,3.92,14.09,14.09,14.2775,14.2775
114,-64.7153,-12.0104,0.4763,0.7,0.0975,4.0125,14.09,14.09,14.2775,14.2775
115,-65.0202,-11.9458,0.4785,0.7,0.05625,3.9925,14.09,14.09,14.2775,14.2775
116,-65.251,-11.8237,0.4806,0.7,0.0825,3.9375,14.09,14.09,14.2775,14.2775
117,-65.4643,-11.668,0.4829,0.7,0.18,3.9525,14.09,14.09,14.2775,14.2775
118,-65.7401,-11.5919,0.485,0.7,0.1275,3.94,14.09,14.09,14.2775,14.2775
119,-65.5066,-11.4247,0.4871,0.7,0.24375,4.0025,14.09,14.09,14.2775,14.2775
120,-65.7695,-11.2844,0.4891,0.7,0.21,3.9275,14.09,14.09,14.2775,14.2775
121,-65.7746,-11.2472,0.4912,0.7,0.3525,3.8875,14.09,14.09,14.2775,14.2775
122,-65.1815,-11.0705,0.4933,0.7,0.42,4.0275,14.09,14.09,14.2775,14.2775
123,-65.0104,-10.8204,0.4953,0.7,0.48,4.0175,14.09,14.09,14.2775,14.2775
124,-63.8831,-10.7273,0.4973,0.7,0.495,3.96,14.09,14.09,14.2775,14.2775
125,-64.7468,-10.7122,0.4993,0.7,0.6,3.9875,14.09,14.09,14.2775,14.2775
126,-64.4336,-10.7776,0.5013,0.7,0.4575,3.9625,14.09,14.09,14.2775,14.2775
127,-63.7951,-10.6355,0.5034,0.7,0.55125,4.0375,14.09,14.09,14.2775,14.2775
128,-62.1906,-10.4248,0.5052,0.7,0.675,4.0175,14.09,14.09,14.2775,14.2775
129,-62.0044,-10.2169,0.5071,0.7,1.41375,3.9225,14.09,14.09,14.2775,14.2775
130,-59.6621,-10.1731,0.5089,0.7,3.14625,4.0125,14.09,14.09,14.2775,14.2775
131,-59.7703,-10.076,0.5106,0.7,3.69375,4.0,14.09,14.09,14.2775,14.2775
132,-56.8891,-10.2853,0.512,0.7,3.25875,4.0275,14.09,14.09,14.2775,14.2775
133,-52.7814,-10.5895,0.5135,0.7,2.82,3.9575,14.09,14.09,14.2775,14.2775
134,-54.56,-10.6774,0.5151,0.7,2.73,3.9375,14.09,14.09,14.2775,14.2775
135,-54.2842,-10.9631,0.5167,0.7,2.2125,3.965,14.09,14.09,14.2775,14.2775
136,-55.94,-11.0073,0.5186,0.7,1.77375,4.0275,14.09,14.09,14.2775,14.2775
137,-54.5497,-11.3303,0.52,0.7,1.53,3.94,14.09,14.09,14.2775,14.2775
138,-55.3124,-11.627,0.5217,0.7,1.00875,4.0825,14.09,14.09,14.2775,14.2775
139,-57.0613,-11.6209,0.5235,0.7,1.1025,4.0275,14.09,14.09,14.2775,14.2775
140,-56.6948,-11.7945,0.525,0.7,0.82125,4.02,14.09,14.09,14.2775,14.2775
141,-56.6972,-11.9398,0.5267,0.7,0.57375,4.02,14.09,14.09,14.2775,14.2775
142,-58.6271,-11.7789,0.5285,0.7,0.78,3.955,14.09,14.09,14.2775,14.2775
143,-59.2023,-12.1268,0.5302,0.7,0.27375,4.005,14.09,14.09,14.2775,14.2775
144,-60.3905,-12.1872,0.5319,0.7,0.24,3.95,14.09,14.09,14.2775,14.2775
145,-60.5582,-12.2066,0.5336,0.7,0.2625,4.06,14.09,14.09,14.2775,14.2775
146,-61.1154,-12.241,0.5353,0.7,0.15,4.06,14.09,14.09,14.2775,14.2775
147,-62.0331,-12.2164,0.537,0.7,0.21,4.05,14.09,14.09,14.2775,14.2775
148,-62.7508,-12.3157,0.5386,0.7,0.06,3.9425,14.09,14.09,14.2775,14.2775
149,-63.1151,-12.3062,0.5401,0.7,0.0825,4.0325,14.09,14.09,14.2775,14.2775
150,-63.3619,-12.2809,0.5417,0.7,0.06,3.9875,14.09,14.09,14.2775,14.2775
151,-63.2536,-12.2506,0.5432,0.7,0.09,4.02,14.09,14.09,14.2775,14.2775
152,-63.3533,-12.2667,0.5447,0.7,0.09,3.96,14.09,14.09,14.2775,14.2775
153,-63.5275,-12.2989,0.546,0.7,0.015,3.9975,14.09,14.09,14.2775,14.2775
154,-63.3046,-12.257,0.5473,0.7,0.14625,3.985,14.09,14.09,14.2775,14.2775
155,-63.331,-12.2452,0.5487,0.7,0.13125,4.015,14.09,14.09,14.2775,14.2775
156,-63.2113,-12.2478,0.55,0.7,0.03375,3.945,14.09,14.09,14.2775,14.2775
157,-63.2156,-12.2666,0.5514,0.7,0.03375,4.005,14.09,14.09,14.2775,14.2775
158,-63.5034,-12.2569,0.5528,0.7,0.01875,3.985,14.09,14.09,14.2775,14.2775
159,-63.5739,-12.2382,0.5541,0.7,0.03375,4.065,14.09,14.09,14.2775,14.2775
160,-63.3842,-12.2314,0.5554,0.7,0.0375,4.0125,14.09,14.09,14.2775,14.2775
161,-63.9535,-12.257,0.5567,0.7,0.02625,3.9575,14.09,14.09,14.2775,14.2775
162,-64.0422,-12.2419,0.558,0.7,0.0525,4.045,14.09,14.09,14.2775,14.2775
163,-63.2883,-12.1725,0.5592,0.7,0.06,4.0225,14.09,14.09,14.2775,14.2775
164,-63.7363,-12.1861,0.5606,0.7,0.06375,4.05,14.09,14.09,14.2775,14.2775
165,-63.7549,-12.2146,0.5618,0.7,0.075,3.9975,14.09,14.09,14.2775,14.2775
166,-63.3979,-12.2012,0.5631,0.7,0.13875,3.9825,14.09,14.09,14.2775,14.2775
167,-63.6335,-12.2654,0.5644,0.7,0.03,4.005,14.09,14.09,14.2775,14.2775
168,-63.7504,-12.1832,0.5657,0.7,0.105,4.0375,14.09,14.09,14.2775,14.2775
169,-63.4758,-12.1736,0.5669,0.7,0.08625,4.05,14.09,14.09,14.2775,14.2775
170,-63.8901,-12.2248,0.5681,0.7,0.05625,3.9675,14.09,14.09,14.2775,14.2775
171,-63.6482,-12.1142,0.5694,0.7,0.01875,4.0,14.09,14.09,14.2775,14.2775
172,-64.3272,-12.0887,0.5707,0.7,0.0225,4.0975,14.09,14.09,14.2775,14.2775
173,-64.506,-11.9992,0.5721,0.7,0.05625,4.0075,14.09,14.09,14.2775,14.2775
174,-64.7159,-12.0107,0.5734,0.7,0.10875,3.9975,14.09,14.09,14.2775,14.2775
175,-64.8402,-11.9778,0.5747,0.7,0.07125,3.9125,14.09,14.09,14.2775,14.2775
176,-65.084,-11.8457,0.5759,0.7,0.13125,4.0025,14.09,14.09,14.2775,14.2775
